_page_url	comm_cosupervisors	comm_exam_chair	comm_external_examiner	comm_nonvoting_members	comm_supervisor	comm_voting_members	defence_date	department	student	title	university
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Elizabeth Cowper	Mary Ann Mccoll		Ted Myers	Michael Escobar, Michael Goodstadt, Robert Mann	Friday, March 28, 2008	Dalla Lana School of Public Health	Kevin Donald Willison	Socio-Economic Factors That Relate To Massage Therapy Use Status Amongst A Sample Of Urban Older Adults With Self-Reported Chronic Disease	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010	David Tritchler, Joseph Beyene	Jane Aubin	Angelo J. Canty			Shelley Bull, Michael Escobar	Wednesday, February 6, 2008	Dalla Lana School of Public Health	Elena Parkhomenko	Sparse Canonical Correlation Analysis	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Theodore Brown	Susan L. Neuhausen	Hilmi Ozcelik	Norman Boyd	Andrew Paterson, Julia Knight, John Mclaughlin	Friday, December 7, 2007	Dalla Lana School of Public Health	Gordon Fehringer	Genetic Variation At The Insulin-Like Growth Factor 1 Gene And Association With Breast Cancer, Breast Density And Anthropometric Measures	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Michael Inzlicht	K.K. Gordon Lan		Wendy Lou	Paul Corey, Kevin Thorpe, Joseph Beyene	Tuesday, October 9, 2007	Dalla Lana School of Public Health	Gregory Russell Pond	Design And Analysis Of Sequential Clinical Trials Using A Markov Chain Transition Rate Model With Conditional Power	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Haibo Zhang	Susan I. Barr	Suzanne C. Ho	Nancy Kreiger	Edward Adlaf, Gerarda Darlington, Andrea Sass-Kortsak	Thursday, September 27, 2007	Dalla Lana School of Public Health	Sieu "Sophie" Gaen Chan	Development Of Food Frequency Questionnaire And Database For Assessing Soy Isoflavone Intake In The Chinese Population	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Tba	Louise Potvin		Blake Poland	Patricia Mckeever, Robert Sparks, Peggy Mcdonough	Monday, September 24, 2007	Dalla Lana School of Public Health	Rebecca Haines	Smoke, In My Eyes - A Qualitative Research Project With Young Women That Smoke	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Ted Inaba	Brent Faught	Lynda Mainwaring	Nancy Kreiger	George Tomlinson, Susan Jaglal, Hans Kreder	Friday, September 7, 2007	Dalla Lana School of Public Health	Vicki L. Kristman	Apoe Genotype And Concussion In Varsity Athletes: Can Genetics Predict Brain Injury?	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Dorothy Pringle	Hugh Chipman		Shelley Bull	Lei Sun, Rafal Kustra, Joseph Beyene	Wednesday, September 5, 2007	Dalla Lana School of Public Health	Sophia Lee	Random Forests For Multi-Locus Quantitative Trait Linkage Analysis	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Helen Rodd	Isik Zeytinoglu		Joan Eakin	Ping-Chun Hsiung, Martin Shain, Ann Robertson	Friday June 22, 2007	Dalla Lana School of Public Health	Marcia Elaine Facey	Contingent Work, Health, And Citizenship: The Discursive Management Of Stigmatising Employment Among Temporary Help Agency Workers	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Charles Boone	Malcolm R. Sears		Cameron A. Mustard	Teresa To, Joseph Beyene, Sharon Dell, Pierre C矌?/Span>	Friday, May 25, 2007	Dalla Lana School of Public Health	Jason Donald Pole	Antenatal Steroid Therapy For Fetal Lung Maturation And The Subsequent Risk Of Childhood Asthma	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Andrew Spence	Steve Manske	Eudice Goldberg	Harvey Skinner	David Davis, Jan Barnsley, Ted Myers	Friday, April 20, 2007	Dalla Lana School of Public Health	Anna Palmira Farmer	Adoption Of An Innovation: The Story Behind Preventive Services In A Community Health Centre	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Guy Faulkner	Jeff Nisker		Ross Upshur	Adballah Daar, Trudo Lemmens, Barbara Secker	Wednesday, April 18, 2007	Dalla Lana School of Public Health	Robin Z. Hayeems	Informed Consent And Genetic Databases: An Exploration Of The Authorization Model	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010	Paul Corey, Jamie Stafford	Alan Cochrane	David E. Matthews			Wendy Lou, Ahmed Bayoumi	Tuesday, April 17, 2007	Dalla Lana School of Public Health	Sandra Gardner	Change Point Models For Discontinuation Rates Of Pneumocystis Carinii Pneumonia Prophylaxis In An Ontario Hiv Patient	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Anne L Martel	Alaattin Erkanli		Michael Escobar	Wendy Lou, George Tomlinson, Joseph Beyene	Friday, March 30, 2007	Dalla Lana School of Public Health	Sohee Kang	Bayesian Semi-Parametric Logistic And Poisson Regression	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Jim Woodgett	Peter T. Katzmarzyk		Alexander G Logan	Shelley Bull, John R. Mclaughlin, Julia Knight	Monday, March 19, 2007	Dalla Lana School of Public Health	Andrew Mente	High Urinary Calcium Excretion And Familial Aggregationof Hypertension, Kidney Stone Disease, Obesity, Excessive Weight Gain And Type 2 Diabetes In Patients With Calcareous Stones	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		James Dennis	Steven N. Maceachern		Radford M. Neal	Celia Greenwood, Paul Corey, Andrew Paterson	Wednesday, February 28, 2007	Dalla Lana School of Public Health	Babak Shahbaba	Improving Classification When A Class Hierarchy Is Available Using A Hierarchy-Based Prior	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		David Guttman	Terry Krupa		Lorraine Ferris	Katherine Boydell, H. Bruce Ferguson, Ted Myers	Friday February 9, 2007	Dalla Lana School of Public Health	Leslea Jane Peirson	Policy In Praxis: A Case Study Of Implementing Making Services Work For People	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Lothar Lilge	James Ramsay		Salomon Minkin	Michael Escobar, Terence Picton, Rafal Kustra	Thursday, February 8, 2007	Dalla Lana School of Public Health	Malcolm Angus Binns	Some Aspects Of Segmented Regression Analysis Relevant To Temporal Localisation In Transient Neuroelectric Signals	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Harvey Anderson	Heather Worth (Via Teleconference)		Ted Myers	Carol Strike, Linda Wood, Peggy Mcdonough	Monday, January 15, 2007	Dalla Lana School of Public Health	Jeffrey P. Aguinaldo	Gay Men'S Health: A Social Constructionist Analysis Of Academic Literature And Men'S Talkabout The Health Of Gay Men	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Michael Kolios	John Koval		James Stafford	Paul Corey, Michael Escobar, Janet Raboud	Tuesday, December 19, 2006	Dalla Lana School of Public Health	Anjela Tzontcheva	A Computational Method For Analyzing Interval-Censored Time To Event Data In The Presence Of Informative Examination	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Elise Stanley	Edward Giovannucci (Via Teleconference)		John Mclaughlin (Via Teleconference)	Michelle Cotterchio, Steve Gallinger, Loraine Marrett	Friday, December 1, 2006	Dalla Lana School of Public Health	Peter Todd Campbell	Excess Body Weight, Exogenous Hormones, And Polymorphisms In Steroid Metabolism; Links With Hereditary Colorectal Cancer	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010	John Mclaughlin, Julia Knight	Dan Dumont	William Foulkes	Lisa Badley		Laurent Briollais, Steven Narod	Tuesday, September 5, 2006	Dalla Lana School of Public Health	Jane Catherine Figueiredo	The Clinical Significance Of Family History, Young Age At Diagnosisand Polymorphic Variation In Breast Cancer	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010	Celia Greenwood, Shelley Bull	Martin Wojtowicz	Christopher I. Amos	Mary Corey, Andrew Paterson		Michael Escobar, David Tritchler	Wednesday, August 23, 2006	Dalla Lana School of Public Health	Wei Xu	Recursive Partitioning Methods For Affected Relative Pair Linkage Analysis	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Linn Holness	Roy Cain		Joan Eakin	Ted Myers, Sheila Neysmith, Ann Robertson	Thursday, July 27, 2006	Dalla Lana School of Public Health	Corinne Hart	The Construction Of Emotion Work In Paid Home Health Care	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Stephen Kish	Jane Aronson		Joan Eakin	Linn Holness, John Shields, Cam Mustard	Tuesday, July 25, 2006	Dalla Lana School of Public Health	Agnieszka "Iggy" Kosny	The Hazards Of Helping: Mission, Work And Risk In Nonprofit Social Service Organizations	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010	Anthony Miller, Nancy Kreiger	Ning Yan	Polly Newcomb			David Andrews, Mary Chipman	Thursday, April 13, 2006	Dalla Lana School of Public Health	Margie Parthimos	Family History Of Breast Cancer, Hormone Replacement Therapy And The Risk For Breast Cancer In Canadian Women	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Roger Simon	Lorna Weir		Ann Robertson	Denise Gastaldo, Ross Gray, Margaret Macneill	Monday, March 13, 2006	Dalla Lana School of Public Health	Jessica Polzer	From Active Participant In Health To (Pro)Active Manager Of Genetic Risk: (Re)Making The Ethical Subject Of Risk The Age Of Genetics	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Catherine Bergeron	James Hanley		Michael Escobar	Paul Corey, Keith Knight, Rafal Kustra	Wednesday, March 8, 2006	Dalla Lana School of Public Health	Yaohua "Helen" He	Nonparametric Methods For Receiver Operating Characteristic (Roc) Curve Analysis In Genomic Studies And Diagnostic Medicine	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Elise Stanely	Paul Higgs		David Coburn	Ann Robertson, Peggy Mcdonough, Joan Eakin	Monday, March 6, 2006	Dalla Lana School of Public Health	Keith Denny	Health And/As Social Capital: A Critical History Of A Concept	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Jeffrey Medin	Leah Gilbert		Linda Muzzin	David Zakus, David Coburn, Catherine Chalin	Wednesday, February 22, 2006	Dalla Lana School of Public Health	Daniel Benjamin Hollenberg	Integrative Health Care: A Critical Analysis Of The Integration Of Complementary/Alternative Medicine And Biomedicine In Clinical Settings	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Lucy R. Osborne	Bill Avison		Angela Colantonio	Anne Rhodes, Michael Escobar, Gail Eyssen	Tuesday, February 14, 2006	Dalla Lana School of Public Health	Diana Elaine Clarke	Ethnic And Geographic Differences In Suicidality In Canadian Adults: A Population-Based Study	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2006-2010		Douglas Bradley	Jeff Turnbull		Vivek Goel	Richard Glazier, George Tomlinson, Carol Strike	Thursday, January 5, 2006	Dalla Lana School of Public Health	Tomislav Svoboda	Measuring The 'Reduction' In A Harm Reduction Program For Homeless Men With Problems Related To Alcohol And Severe Mental Illness	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Paul Fraser	Heejung Bang		Andy Willan	Wendy Lou, Mike Escobar, Murray Krahn	Friday, December 2, 2005	Dalla Lana School of Public Health	Eleanor Pinto	Semi-Parametric Models For Cost-Effectiveness Analysis:Improving The Efficiency Of Estimation From Censored Data	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Mounir Abouhaidar	Cindy Patton		Ann Robertson	Ted Myers, Blake Poland, Roy Cain	Friday, October 28, 2005	Dalla Lana School of Public Health	Robb Travers	Doing Moral Work: A Critical Analysis Of Living With Hiv	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		James Ingles	Elizabeth Wood Karlson		John Mclaughlin	Murray Urowitz, Aillen Davis, Gerarda Darlington	Monday, October 17, 2005	Dalla Lana School of Public Health	Louise Murphy	An Epidemiologic Study Of The Role Of The Exogenous And Endogenous Estrogens In Rheumatoid Arthritis	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		David Williams	Ron Labonte		Ross Upshur	Soloman Benatar, Ann Robertson, Liviana Calzavara	Wednesday, October 5, 2004	Dalla Lana School of Public Health	Stephanie Nixon	Canada'S International Response To Hiv/Aids: A Critical Public Health Ethics Inquiry	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005	Peggy Mcdonough, Joan Eakin	John Dick	Jeffrey Johnson			Carles Muntaner, Emile Tompa	Friday, September 30, 2005	Dalla Lana School of Public Health	Heather Scott	A Political Economy Lens On Work-Related Insecurity In The New Economy: Evaluating The Consequences For Health	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Rhonda Cockerill	Barbara Neis		Joan Eakin	John Frank, Bonnie Fox, Peri Ballantyne	Monday, September 26, 2005	Dalla Lana School of Public Health	Ann Sylvia Brooker	Dignity, Work And Health	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005	Paul Corey & Joseph Beyene	Scott Thomas	Jacek Kopec			Ed Adlaf, Angela Colantonio	Monday, September 19, 2005	Dalla Lana School of Public Health	Julie Richardson	Predictors Of Functional Transitions And Disability-Free Life Expectancy With Stroke And Coronary Heart Disease	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Tba	Florence Kellner		Harvey Skinner	Eric Single, Louis Gliksman, Liviana Calzavara	Thursday, June 16, 2005	Dalla Lana School of Public Health	Luba Magdenko	Societies In Transition: Alcohol Misuse And Control Policy In Ukraine	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Paul Fletcher	Gina Browne		Harvey Skinner	Carol Strike, Robin Mason, Liviana Calzavara	Wednesday, June 8, 2005	Dalla Lana School of Public Health	Sarah Flicker	Critical Issues In Community-Based Participating Research	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Marty Wall	Jenny Ploeg		Victor Marshall	Rhonda Cockerill, Jerry Singleton, Ann Robertson	Thursday, June 2, 2005	Dalla Lana School of Public Health	Robin Stadnyk	Personal Contributions To The Cost Of Nursing Home Care: Policy Differences And Their Impact On Community-Dwelling Spouses	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Ted Brown	Tye Elaine Arbuckle		John Mclaughlin	Loraine Marrett, Donald Cole, Ellen Hodnett	Thursday, December 16, 2004	Dalla Lana School of Public Health	Monica Bienefeld	Occupational Radiation Exposure And Risk Of Spontaneous Abortion Among Medical Radiation Technologists In Canada	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Raymond Reilly	Paul Mcdonald	Curtis Breslin	Harvey Skinner	Lorraine Ferris, Lawrence Spero, Joanna Cohen	Friday, November 5, 2004	Dalla Lana School of Public Health	Cameron Dale Norman	The Web Of Influence: Evaluating The Impact Of Internet Interventions On Adolescent Smoking Cessation & Ehealth Literacy	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		R.D. Tomlinson	Michael M. Burgess	Paul Thompson	Ann Robertson	Robert Gibbs, Ross Upshur, Joan Eakin	Friday, October 29, 2004	Dalla Lana School of Public Health	Alison Thompson	A Case Study Of The Canadian Public Consultation Onxenotransplantation	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Emil Pai	Hugh Chipman	Laurent Briollais	David Tritchler	Paul Corey, Rafal Kustra, Michael Escobar	Wednesday, October 27, 2004	Dalla Lana School of Public Health	Shafagh Fallah	Statistical Methods For Clustering Gene Expression Data	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Jim Hu	Kung-Yee Liang	Paul Corey	Shelley Bull	Lei Sun, James Stafford, Andrew Paterson	Friday, October 8, 2004	Dalla Lana School of Public Health	Joanna Biernacka	Statistical Methods For Studying Two Linked Disease Genes	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Gary Remington	Catherine Lesley Biggs		David Coburn	Linda Muzzin, Paul Williams, Rhonda Love	Thursday, May 13, 2004	Dalla Lana School of Public Health	Mary Teresa Fynes	Personal To Political: The Changing Relationship Between The Ontario Hospital Association And The State In Ontario	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Souraya Sidani	Christine Ambrosone		Norman Boyd	David Tritchler, Patricia Harper, Wendy Lou, Andrew Paterson	Wednesday, February 4, 2004	Dalla Lana School of Public Health	Chi-Chen Hong	Influence Of Genetic Polymorphisms In P450 C17A (T27C), Catechol-O-Methyltransferase (Val158Met), And Activity Level Of Cytochrome P450 1A2 On Mammographic Density Levels And Other Risk Factors For Breast Cancer	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Lucia Stefaneanu	Olena Hankivsky		Robin Badgley	Margrit Eichler, Heather Maclean, Cheryl Regehr, Liviana Calzavara	Monday, January 19, 2004	Dalla Lana School of Public Health	Jocalyn Paige Clark	The Medicalization Of Sexual Assault: A Combined Quantitative And Qualitative Study	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Jan Barnsley	Eduardo Franco		Loraine Marrett	John Mclaughlin, Neil Klar, Gail Eyssen	Friday, January 9, 2004	Dalla Lana School of Public Health	Mark Purdue	Etiologic Factors Associated With Nevus Involvement And P53 Abnormality In Cutaneous Malignant Malanoma	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		James Duffin	Anver Saloojee		Rhonda Love	David Turner, Carol Yawney, Liviana Calzavara	Monday, December 8, 2003	Dalla Lana School of Public Health	Eleanor Alwyn	Traditions In A Colonized World: Two Realities Of A First Nation	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Robert Murphy	Kristan Aronson	Monique Gignac	Elizabeth Badley	Gail Eyssen, Blaire Wheaton, Angela Colantonio	Wednesday, November 19, 2003	Dalla Lana School of Public Health	Peizhong Peter Wang	Examining The Roles Of Contextual Factors In Disablement And Its Methodological Implication For Epidemiological Studies	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Jay Pratt	Jaber F. Gubrium		Ann Robertson	Stephen Katz, Gail Mitchell, Joan Eakin	Thursday, Sept. 11, 2003	Dalla Lana School of Public Health	Pia Kontos	Embodied Selfhood: An Ethnography Of Alzheimer'S Disease	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Jerry Warsh	Penny Brasher		Paul Corey	Charles Rohde, Jamie Stafford, David Tritchler, Liviana Calzavara	Thursday, September 11, 2003	Dalla Lana School of Public Health	Lisa J Strug	Evidential Sample Size	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Irene Andrulis	Bryan Green		Ann Robertson	Stephen Katz, Adrienne Chambon, Denise Gastaldo	Wednesday, August 27, 2003	Dalla Lana School of Public Health	Deborah Laliberte Rudman	Active, Autonomous And Responsible: A Critical Discourse Analysis Of Contemporary Newspaper Constructions Of "Retirees"	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Richard Hill	John Berry		Harvey Skinner	Ilze Kalnins, Milada Disman, Rosemary Meier, Liviana Calzavara	2:00-4:00 P.M.,  June 13, 2003	Dalla Lana School of Public Health	Angela Wai Yan Shik	Battling Solitude: The Experience Of Loneliness Among Hong Kong Chinese Immigrant Youth	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Maire E. Percy	Paul Demers		Andrea Sass-Kortsak	Nancy Kreiger, Paul Corey, James Purdham, Mary Chipman	12:00-2:00 P.M., April 10, 2003	Dalla Lana School of Public Health	Dana S. Edge	Occupational Risk Factors & Prostate Cancer In Ontario	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Hans Kunov	Pat O'Malley		Joan Eakin	Ann Robertson, Terry Sullivan, Peggy Mcdonough	2:00-4:00 P.M., March 18, 2003	Dalla Lana School of Public Health	Ellen Maceachen	Managing Repetition Strain Injury In Ontario Newspaper Workplaces: An Ethnography Of Governance	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Hue-Sun Chan	David Huntsman	George Tomlinson	Nancy Kreiger	Steve Gallinger, Michelle Cotterchio, Mary Chipman	11:30 A.M.-1:30 P.M., February 7, 2003	Dalla Lana School of Public Health	Sarah Frise	Risks Factors For Gastric Cancer In Ontario	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005	Paul Corey, Shelley Bull	Denise Belsham	Mary E. Thompson			David Tritchler, Celia Greenwood	10:00 A.M.-12:00 Noon, December 6, 2002	Dalla Lana School of Public Health	Fang Xie	Simultaneous Detection Of Linkage And Linkage Disequilibrium For Families With An Affected Sib-Pair	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005	Brian Shaw, Lorraine Ferris	Reinhart Reithmeier	Anne Farmer	Randy Katz		Hilary Llewelyn-Thomas, Ilze Kalnins	2:00-4:00 P.M.,  November 22, 2002	Dalla Lana School of Public Health	Amy Kaiser	Psychological Aspects Of Decision Making For Prenatal Testing	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005	George Tomlinson	Cheryl Arrowsmith	John Koval		Paul Corey	Wendy Lou, Michael Escobar	12:00 Noon-2:00 P.M., September 23, 2002	Dalla Lana School of Public Health	Lori Davis	Estimating Random Effects And Serial Correlation In Random Coefficient Models: To Weight Or Not To Weight	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Yaacov Bendavid	Kathryn Graham		Roberta Ferrence	Edward Adlaf, Susan Bondy, Mary Jane Ashley, William Mcgee	11:00 A.M. - 1:00 P.M., August 29, 2002	Dalla Lana School of Public Health	Crystal Michele Freeman	Living Environment, Social Context, Heavy Drinking And Cigarette Smoking Among University Students	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Michael Ward	Russell Wilkins		Paul Corey	Susan Bondy, Elizabeth Badley, Angela Colantonio	1:00 - 3:00 P.M., June 21, 2002	Dalla Lana School of Public Health	Janice Walker	The Markov Process As A Method Of Evaluating Life Expectancyfollowing Spinal Cord Injury	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Jerry Warsh	Juanne Nancarrow Clarke		Heather Maclean	Jane Aronson, Ross Gray, Peggy Mcdonough	2:00 - 4:00 P.M., June 12, 2002	Dalla Lana School of Public Health	Christina Sinding	Care'S Ultimate Limits: Experiences And Accounts Of Caring For A Relative Or Friend Who Died Of Breast Cancer	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Steve Meyn	Niklas Krause	J. David Cassidy, Sheilah Hogg-Johnson	John Frank	Claire Bombardier, Bernard Dickens, Elizabeth Badley, Andrea Sass-Kortsak	10:00 A.M. - 12:00 Noon,  May 29, 2002	Dalla Lana School of Public Health	Pierre Cote	The Association Between Patterns Of Visits To General Practitioners, Chiropractors And Specialists And Time-Recovery From Acute Whiplash	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Tba	David Bellhouse		Paul Corey	Mary Corey, Jaime Stafford, David Andrews	10:00 Am - 12:00 Noon, November 22, 2001	Dalla Lana School of Public Health	Michelle Annie Dupuis	Estimating Two-Year Survival Using Cox Model With Updated Covariates	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Tba	Marjorie Devault		Ann Robertson	Heather Maclean, Valerie Tarasuk, Peggy Mcdonough	10:00 A.M. - 12:00 Noon, November 5, 2001	Dalla Lana School of Public Health	Elaine Power	Disciplining Single Mothers On Welfare: Neo-Liberal Strategies Of Governance In A Consumer Society	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Tba	Sharon-Lise Normand		Paul Corey	Michael Escobar, David Tritchler, Hau Lei	10:00 A.M. - 12:00 Noon, August 28, 2001	Dalla Lana School of Public Health	Paul Zhang	Multiple Imputation Of Missing Data In Clinical Trials	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Tba	Marcello Pagano		David Andrews	Paul Corey, David Tritchler, Michael Escobar	2:00 P.M. - 4:00 P.M., Tuesday, June 12, 2001	Dalla Lana School of Public Health	Joseph Beyene	Uses Of The Fast Fourier Transform (Fft) In Exact Statistical Inference	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Tba	David Edwards Matthews		John J. Hseih	Paul Corey, Pauline Van Den Driessche (Via Teleconference), Michael Escobar	2:00 P.M. - 4:00 P.M., Friday, May 25, 2001	Dalla Lana School of Public Health	Michelle Fan	A Multiplicative Model Of The Transmission Rate And Its Statistical Interferences	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Clifford Lingwood	Kathryn Graham	Karin Domnick	Ted Myers	Victor Marshall, Robin Room (Via Teleconference), Edward Adlaf, Lorraine Ferris	10:00 A.M. - 12:00 Noon,  Tuesday, February 13, 2001	Dalla Lana School of Public Health	Sandra Bullock	About Last Night: Dates, Drinks And Sexa Study Of The Association Between Alcohol Use And Sexual Activity Among Heterosexuals, Including Sexual Behaviours At High Risk For The Transmission Of Stds And Hiv	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Jun Liu	Georgina Feldberg		Anthony Miller	Ellen Hodnettl, Irving Rootman, Gail Eyssen, Peggy Millson	1:00 P.M. - 3:00 P.M.,  Wednesday, January 10, 2001	Dalla Lana School of Public Health	Elizabeth Rael	Feasibility Study: Research Efforts To Identify And Reach Portuguese-Speaking Women Who Are Underscreened For Cervical Cancer	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		James Drake	Joan Wharf Higgins (By Teleconference)		Ilze Kalnins	Dennis Raphael, Michael Goodstadt, Andy Anderson, Joan Eakin	1:00 P.M. - 3:00 P.M.,  Thursday, December 21, 2000	Dalla Lana School of Public Health	Linda O'Mara	Peer Led Health Promotion In High Schools: Constraining And Facilitating Conditions Experienced By Young Women	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Avi Chakrabartty	Roy Cain		Ted Myers	Joel Baum, Peggy Wilson, Loiuse Lemieux-Charles, Joan Eakin, Victor Marshall (By Teleconference)	10:00 A.M. - 12:00 Noon, Friday, December 15, 2000	Dalla Lana School of Public Health	Carol Janice Strike	Organizational Responses To Illegitimacy: The Case Of Needle Exchange Programs In Ontario	University of Toronto	
http://www.dlsph.utoronto.ca/page/phd-final-oral-examination-2000-2005		Jeremy Quastel	Bruce Smith		David Trichler	Shelley Bull, Jaime Stafford, Neil Klar, Paul Corey	10:00 A.M. - 12:00 Noon, Monday, December 4, 2000	Dalla Lana School of Public Health	Ying Liu (Nancy)	A Unified Framework For Tdt Analysis Of Complex Traits	University of Toronto	
